"Owner","Certificate Issuer Organization","Certificate Issuer Organizational Unit","Common Name or Certificate Name","Certificate Serial Number","SHA-256 Fingerprint","Certificate ID","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Trust Bits","EV Policy OID(s)","Approval Bug","NSS Release When First Included","Firefox Release When First Included","Test Website - Valid","Mozilla Applied Constraints","Company Website","Geographic Focus","Certificate Policy (CP)","Certification Practice Statement (CPS)","Standard Audit","BR Audit","EV Audit","Auditor","Standard Audit Type","Standard Audit Statement Dt"
"AC Camerfirma, S.A.","AC Camerfirma SA CIF A82743287","http://www.chambersign.org","Chambers of Commerce Root","00","0C:25:8A:12:A5:67:4A:EF:25:F2:8B:A7:DC:FA:EC:EE:A3:48:E5:41:E6:F5:CC:4E:E6:3B:71:B3:61:60:6A:C3","BC:2F:D9:EA:61:58:1C:B2:2B:B8:59:69:0D:61:43:0E:7D:22:2D:11:19:E8:C4:16:49:B9:B1:D5:56:D4:39:A4","2003 Sep 30","2037 Sep 30","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=261778","","Firefox 1","https://server1ok.camerfirma.com","","http://www.camerfirma.com","Spain","","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_v_1_2_1_EN.pdf","https://cert.webtrust.org/SealFile?seal=2283&file=pdf","https://cert.webtrust.org/SealFile?seal=2284&file=pdf","https://cert.webtrust.org/SealFile?seal=2285&file=pdf","Auren","WebTrust","2017.07.10"
"AC Camerfirma, S.A.","AC Camerfirma S.A.","","Chambers of Commerce Root - 2008","00a3da427ea4b1aeda","06:3E:4A:FA:C4:91:DF:D3:32:F3:08:9B:85:42:E9:46:17:D8:93:D7:FE:94:4E:10:A7:93:7E:E2:9D:96:93:C0","84:9A:D3:27:9D:9B:80:5A:28:83:39:46:8C:41:77:44:AC:1C:E2:75:8A:6E:28:3A:44:66:85:38:4D:5D:6C:D2","2008 Aug 01","2038 Jul 31","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email","1.3.6.1.4.1.17326.10.14.2.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=406968","NSS 3.12.9","Firefox 4.0","https://server3ok.camerfirma.com","","http://www.camerfirma.com","Spain","","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_v_1_2_1_EN.pdf","https://cert.webtrust.org/SealFile?seal=2283&file=pdf","https://cert.webtrust.org/SealFile?seal=2284&file=pdf","https://cert.webtrust.org/SealFile?seal=2285&file=pdf","Auren","WebTrust","2017.07.10"
"AC Camerfirma, S.A.","AC Camerfirma SA CIF A82743287","http://www.chambersign.org","Global Chambersign Root","00","EF:3C:B4:17:FC:8E:BF:6F:97:87:6C:9E:4E:CE:39:DE:1E:A5:FE:64:91:41:D1:02:8B:7D:11:C0:B2:29:8C:ED","F3:3B:D6:DD:C7:57:6A:7A:C9:BB:A4:64:D7:42:5F:26:D5:8F:D2:C5:1A:3A:1F:89:87:8D:52:62:BD:D4:85:E0","2003 Sep 30","2037 Sep 30","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=261778","","Firefox 1","https://server4ok.camerfirma.com","","http://www.camerfirma.com","Spain","","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_v_1_2_1_EN.pdf","https://cert.webtrust.org/SealFile?seal=2283&file=pdf","https://cert.webtrust.org/SealFile?seal=2284&file=pdf","https://cert.webtrust.org/SealFile?seal=2285&file=pdf","Auren","WebTrust","2017.07.10"
"AC Camerfirma, S.A.","AC Camerfirma S.A.","","Global Chambersign Root - 2008","00c9cdd3e9d57d23ce","13:63:35:43:93:34:A7:69:80:16:A0:D3:24:DE:72:28:4E:07:9D:7B:52:20:BB:8F:BD:74:78:16:EE:BE:BA:CA","7D:B0:C6:86:3B:89:16:72:A5:1E:9D:28:B4:26:10:F1:DB:9F:56:51:C8:C8:77:36:B9:37:53:6F:84:53:F9:47","2008 Aug 01","2038 Jul 31","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email","1.3.6.1.4.1.17326.10.8.12.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=406968","NSS 3.12.9","Firefox 4.0","https://server2ok.camerfirma.com","","http://www.camerfirma.com","Spain","","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_v_1_2_1_EN.pdf","https://cert.webtrust.org/SealFile?seal=2283&file=pdf","https://cert.webtrust.org/SealFile?seal=2284&file=pdf","https://cert.webtrust.org/SealFile?seal=2285&file=pdf","Auren","WebTrust","2017.07.10"
"Actalis","Actalis S.p.A./03358520967","","Actalis Authentication Root CA","570a119742c4e3cc","55:92:60:84:EC:96:3A:64:B9:6E:2A:BE:01:CE:0B:A8:6A:64:FB:FE:BC:C7:AA:B5:AF:C1:55:B3:7F:D7:60:66","36:25:88:CB:73:6F:FC:A8:E8:CA:1A:48:5F:8D:0F:D3:FE:4A:32:A1:ED:B3:60:6E:71:A5:F2:F7:98:6A:4B:34","2011 Sep 22","2030 Sep 22","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email","1.3.159.1.17.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1176188","NSS 3.13.6","Firefox 16","https://ssltest-active.actalis.it/","None","http://www.actalis.it/","Italy","https://www.actalis.it/documenti-en/cps-for-ssl-server-and-code-signing.pdf","https://www.actalis.it/documenti-en/cps-for-ssl-server-and-code-signing.pdf","https://www.actalis.it/documenti-en/actalisca_audit_statement_2017.pdf","https://www.actalis.it/documenti-en/actalisca_audit_statement_2017.pdf","https://www.actalis.it/documenti-en/actalisca_audit_statement_2017.pdf","Bureau Veritas Italia S.p.A.","ETSI EN 319 411","2017.09.04"
"Amazon","Amazon","","Amazon Root CA 1","066c9fcf99bf8c0a39e2f0788a43e696365bca","8E:CD:E6:88:4F:3D:87:B1:12:5B:A3:1A:C3:FC:B1:3D:70:16:DE:7F:57:CC:90:4F:E1:CB:97:C6:AE:98:19:6E","99:D5:D4:66:31:FE:07:C7:04:51:AF:F5:4A:D7:8F:56:A2:FA:84:FE:D8:47:B2:37:F8:D8:1F:84:5F:A8:8D:20","2015 May 26","2038 Jan 17","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","https://good.sca1a.amazontrust.com/","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp-1.0.4.pdf","https://www.amazontrust.com/repository/cps-1.0.5.pdf","https://cert.webtrust.org/SealFile?seal=2217&file=pdf","https://cert.webtrust.org/SealFile?seal=2218&file=pdf","https://cert.webtrust.org/SealFile?seal=2219&file=pdf","BDO International Limited","WebTrust","2017.03.28"
"Amazon","Amazon","","Amazon Root CA 2","066c9fd29635869f0a0fe58678f85b26bb8a37","1B:A5:B2:AA:8C:65:40:1A:82:96:01:18:F8:0B:EC:4F:62:30:4D:83:CE:C4:71:3A:19:C3:9C:01:1E:A4:6D:B4","93:29:10:00:1C:D2:4A:7F:1F:48:3C:EF:FF:6D:26:8C:AA:D9:D9:3D:75:20:57:5E:FC:E0:05:7E:11:71:50:5C","2015 May 26","2040 May 26","RSA 4096 bits","sha384WithRSAEncryption","Websites;Email","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","https://good.sca2a.amazontrust.com/","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp-1.0.4.pdf","https://www.amazontrust.com/repository/cps-1.0.5.pdf","https://cert.webtrust.org/SealFile?seal=2217&file=pdf","https://cert.webtrust.org/SealFile?seal=2218&file=pdf","https://cert.webtrust.org/SealFile?seal=2219&file=pdf","BDO International Limited","WebTrust","2017.03.28"
"Amazon","Amazon","","Amazon Root CA 3","066c9fd5749736663f3b0b9ad9e89e7603f24a","18:CE:6C:FE:7B:F1:4E:60:B2:E3:47:B8:DF:E8:68:CB:31:D0:2E:BB:3A:DA:27:15:69:F5:03:43:B4:6D:B3:A4","2F:AB:16:B8:43:25:52:96:39:A1:EC:AA:77:2A:39:81:4B:64:56:CA:68:E5:E0:17:E3:F9:A8:78:7E:25:0F:FC","2015 May 26","2040 May 26","EC secp256r1","ecdsaWithSHA256","Websites;Email","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","https://good.sca3a.amazontrust.com/","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp-1.0.4.pdf","https://www.amazontrust.com/repository/cps-1.0.5.pdf","https://cert.webtrust.org/SealFile?seal=2217&file=pdf","https://cert.webtrust.org/SealFile?seal=2218&file=pdf","https://cert.webtrust.org/SealFile?seal=2219&file=pdf","BDO International Limited","WebTrust","2017.03.28"
"Amazon","Amazon","","Amazon Root CA 4","066c9fd7c1bb104c2943e5717b7b2cc81ac10e","E3:5D:28:41:9E:D0:20:25:CF:A6:90:38:CD:62:39:62:45:8D:A5:C6:95:FB:DE:A3:C2:2B:0B:FB:25:89:70:92","C9:B8:1D:09:BD:1E:2C:0B:56:D7:19:9B:11:2D:A2:B9:A4:A5:9D:E2:D0:86:8B:7D:E7:11:8E:04:FB:93:19:85","2015 May 26","2040 May 26","EC secp384r1","ecdsaWithSHA384","Websites;Email","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","https://good.sca4a.amazontrust.com/","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp-1.0.4.pdf","https://www.amazontrust.com/repository/cps-1.0.5.pdf","https://cert.webtrust.org/SealFile?seal=2217&file=pdf","https://cert.webtrust.org/SealFile?seal=2218&file=pdf","https://cert.webtrust.org/SealFile?seal=2219&file=pdf","BDO International Limited","WebTrust","2017.03.28"
"Amazon","Starfield Technologies, Inc.","","Starfield Services Root Certificate Authority - G2","00","56:8D:69:05:A2:C8:87:08:A4:B3:02:51:90:ED:CF:ED:B1:97:4A:60:6A:13:C6:E5:29:0F:CB:2A:E6:3E:DA:B5","34:55:A4:C6:FB:EC:86:F4:F0:2B:35:A3:7B:5E:6C:F7:4C:35:AC:AC:1F:7A:A3:A0:56:BE:6E:65:6C:A1:7A:06","2009 Sep 01","2037 Dec 31","RSA 2048 bits","sha256WithRSAEncryption","Websites","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.12.10","Firefox 6.0","https://good.sca0a.amazontrust.com/","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp-1.0.4.pdf","https://www.amazontrust.com/repository/cps-1.0.5.pdf","https://cert.webtrust.org/SealFile?seal=2217&file=pdf","https://cert.webtrust.org/SealFile?seal=2218&file=pdf","https://cert.webtrust.org/SealFile?seal=2219&file=pdf","BDO International Limited","WebTrust","2017.03.28"
